,label
4038,0
1083,0
5052,0
5011,0
3965,0
4400,0
437,0
3336,1
528,0
4422,0
3322,0
1291,1
3483,0
1894,0
2352,0
4593,0
4337,0
2297,0
299,0
1402,1
405,0
3236,1
86,0
3134,0
4113,0
1247,0
2171,0
733,0
5185,0
5411,0
183,0
3441,0
3717,0
5287,0
2845,0
321,0
2116,0
3706,1
4433,0
842,0
1264,0
3294,0
1517,0
2629,0
1849,1
117,0
4272,0
2093,0
4694,0
631,0
112,0
4604,0
1975,0
4530,0
4230,0
2430,1
2067,0
5103,0
4439,0
3603,0
156,0
936,0
1819,0
3133,0
2607,0
4839,0
4536,0
2305,0
1973,0
1384,0
3105,0
216,0
4879,0
2785,0
1673,0
1303,0
2540,0
523,0
854,0
2743,1
694,0
3451,0
3489,0
2230,0
4698,0
1263,0
3559,0
973,0
2508,0
4785,0
5323,0
35,1
1756,0
4386,0
3757,0
1376,0
4172,0
1025,0
674,0
3808,1
2220,0
4022,0
4921,0
4905,0
960,0
1680,0
4661,0
1554,0
4581,1
407,0
2760,0
430,0
725,0
2832,0
3217,0
4302,0
4789,0
4857,0
440,0
699,0
590,0
3828,0
77,0
1481,0
1612,0
3951,0
1353,0
1004,0
1357,0
3145,0
308,0
2048,0
1842,0
4915,0
3084,0
2266,0
2708,0
1875,0
4160,0
1737,0
4027,0
4756,0
2144,1
2289,0
2597,1
469,0
3658,0
1343,1
166,0
151,0
1034,0
1367,0
2292,0
336,0
612,0
616,0
5134,0
143,0
439,0
1296,0
1606,0
2319,1
4472,0
227,0
2145,0
2789,0
3297,0
1529,0
212,0
1687,1
3505,0
5308,0
1460,0
5428,0
5319,0
3570,0
604,0
1211,0
2324,0
642,0
497,0
1696,0
3206,1
1453,0
5321,0
5180,1
4363,0
938,0
295,0
1779,0
1122,0
4019,0
1474,0
5334,0
2281,0
2165,0
4037,0
4998,0
4010,0
357,0
1452,0
5159,0
1764,0
3432,0
1260,0
4342,1
2487,0
1811,1
1225,0
2916,0
5307,0
3308,0
1794,0
5382,0
3205,0
1409,0
3094,0
5254,0
763,1
1527,0
1113,0
2812,1
2002,0
4612,0
3832,0
1155,0
3741,0
2308,0
3269,0
2733,0
4227,0
3048,0
105,0
891,0
975,0
135,0
1355,1
2893,0
4951,0
4089,0
59,0
515,0
2894,0
3287,0
3896,0
1937,0
3272,0
1986,0
594,0
24,0
1927,0
4924,0
1428,0
2170,0
2978,0
2323,0
1337,1
4094,0
5424,0
1236,0
4848,0
1566,0
100,0
4953,0
3916,0
3227,0
2496,1
1978,1
383,0
393,0
5137,0
2700,0
562,0
4765,0
1853,0
1824,0
4449,0
1620,0
9,0
4927,0
3588,0
252,0
2475,0
1956,0
2647,0
5392,1
5376,0
5077,0
937,0
4843,0
672,0
1056,0
3697,0
3698,0
1156,0
4032,0
127,0
3273,1
2172,0
1061,0
2915,0
5269,0
3174,0
4761,1
3760,0
5356,0
4838,0
1660,0
5183,0
5045,1
3664,0
2933,0
3620,0
1744,0
1011,0
3783,0
3090,0
4108,0
718,0
2183,1
596,0
1255,0
2317,0
526,0
410,0
1543,0
4864,0
2154,0
5207,0
1773,0
2169,0
5395,0
4129,1
2014,0
2046,0
4002,0
2869,0
1486,0
278,0
4394,1
40,0
3518,0
1391,0
5437,0
2417,0
686,0
