,label
3366,26
1945,89
2975,186
4181,89
4407,186
5460,109
661,109
3377,89
4136,109
459,109
554,143
188,109
4583,186
3101,218
3976,218
1123,143
3331,186
4408,26
4549,109
4277,186
2355,186
4832,127
1895,109
5159,119
1752,186
3040,119
1527,177
830,186
4182,186
4098,143
657,218
1122,127
3118,109
894,89
3228,89
4805,26
1333,127
1550,160
2791,186
298,186
4484,26
4509,26
4452,143
3892,89
1905,143
2900,143
4784,160
818,89
833,186
364,26
4180,186
798,89
4221,143
1137,89
782,177
3628,186
269,89
4351,186
1629,89
68,26
4587,186
2133,160
2326,160
552,26
4825,119
1110,89
2747,177
1609,186
1702,26
225,109
1976,127
1909,127
5199,143
4411,89
4501,109
3517,186
5398,109
4024,109
2283,26
4923,109
4969,218
1648,160
2552,127
5244,143
3389,119
3789,26
573,109
4578,89
477,186
367,119
5228,160
1266,109
647,109
402,177
1010,26
3850,160
3918,186
3359,109
4002,186
3068,143
151,109
1086,186
1649,143
3006,109
1454,186
1501,127
728,26
738,186
5147,143
5243,26
2367,186
3346,186
893,26
3679,26
4320,160
2226,127
4951,160
1082,26
418,160
3237,160
4178,143
995,186
3153,143
22,127
2563,160
2204,218
4244,186
702,109
1019,119
476,127
2647,109
3604,186
2505,89
2699,119
5340,143
4294,26
1246,127
3194,186
3848,127
2761,109
3287,143
4455,143
3657,143
1931,109
1411,119
381,89
2742,143
2205,109
5097,127
3220,26
3339,186
3800,127
1155,26
1646,177
4842,119
3653,186
3917,160
2478,186
3846,177
3763,119
4636,26
663,160
1164,119
631,143
940,127
3004,89
697,186
2964,160
4036,119
1309,143
1732,177
3523,160
3923,186
706,143
341,109
4893,119
4370,218
4487,127
1950,186
4242,109
860,109
2720,109
4648,160
4397,143
4426,109
3634,119
2545,160
3395,109
1616,127
2958,160
5181,143
2357,109
287,109
1091,89
2442,186
3303,143
1188,119
3654,160
3879,218
1760,109
694,89
1088,26
4326,109
3305,160
335,186
2314,143
1584,177
793,119
5143,143
619,160
1132,119
3977,109
5401,218
2613,186
3316,89
5017,143
4236,26
4702,160
4212,143
132,26
386,186
566,109
3141,26
1518,143
1359,143
470,127
2893,143
3672,186
2789,89
4469,177
1450,186
2690,109
3592,119
835,160
4793,160
4870,109
5308,26
1118,143
3642,26
4877,186
4930,26
4206,26
10,186
1756,186
3579,109
1383,186
37,127
4823,89
3773,186
4044,127
4245,186
3180,160
800,143
3999,143
489,127
5189,186
4929,109
5000,177
4256,186
2979,186
4127,218
3664,186
2151,119
4349,89
4261,119
598,109
3248,186
4970,143
2804,160
1786,127
4905,26
1034,143
765,89
1647,127
882,186
3768,160
2356,119
1596,109
502,127
1305,89
2011,127
981,186
2238,119
438,186
4001,186
168,89
2429,89
3557,186
3481,186
3457,186
632,160
839,26
2879,127
349,160
1258,26
2362,186
1487,89
3828,218
4864,186
3186,177
2585,218
4644,186
426,143
1535,143
2453,109
245,186
1781,160
3921,109
4217,186
2363,26
181,109
3298,218
2403,127
396,143
5320,26
370,218
3605,186
4510,109
79,26
455,218
4258,143
1757,119
192,26
3423,186
1977,109
3501,127
2502,186
4782,143
4604,186
1696,109
295,109
2919,218
752,119
3090,26
5443,186
3132,127
3448,160
3712,186
863,127
25,119
1308,109
751,218
93,143
3814,26
2450,143
3822,160
4209,186
4142,119
2948,89
4034,143
4722,160
4153,186
2164,143
213,119
3083,26
4840,186
3507,127
890,89
744,127
3512,119
4047,127
5407,160
385,160
3647,26
3564,109
173,143
5430,89
1852,26
5102,127
664,186
2422,26
4435,109
2278,143
3308,26
1404,127
1252,26
648,89
3904,89
2881,186
1827,89
926,26
1927,160
687,89
1366,109
504,89
1249,109
2064,143
3077,127
4357,186
5266,143
654,186
5450,218
2220,119
2054,127
4764,186
4026,186
809,218
3503,26
4976,186
766,89
371,119
2078,186
2913,119
668,26
2387,160
3380,127
576,89
4985,218
2586,119
17,119
2659,160
4868,109
353,127
986,89
1547,127
4000,109
4402,109
296,143
4625,89
4830,143
4993,127
1459,160
4917,89
3811,186
853,127
4940,109
1205,143
3138,127
4907,218
551,143
366,26
4462,26
2980,89
4647,127
3760,119
3150,160
3732,89
4652,89
3981,89
2072,127
3924,186
1387,143
4953,186
3327,160
2828,89
4340,127
152,119
3753,143
2508,119
1389,119
3012,127
1779,186
2918,186
3854,143
2667,186
3759,218
3995,119
43,109
5128,109
865,89
693,127
3465,89
3291,160
3570,218
2076,143
3572,109
4079,143
1068,186
1983,143
178,127
292,26
1154,109
1953,143
4131,186
1507,89
5089,26
1915,177
2723,218
28,109
266,119
2549,186
4266,109
3008,89
2520,127
921,143
2877,160
3574,26
2439,186
555,26
1425,218
4683,218
2432,177
3059,177
3310,143
2364,127
3306,109
1001,177
3229,186
4345,160
198,119
2331,127
1116,119
5356,26
1874,89
3877,109
1350,160
5253,143
2524,186
5431,119
4518,160
2216,160
2978,109
563,119
913,26
4912,186
3878,109
3696,109
2275,177
5267,127
4922,186
3178,119
4554,89
3727,177
4630,177
5370,26
5337,119
4156,177
3047,109
228,127
1331,119
590,160
2981,109
1516,119
5336,109
3493,186
4598,218
2863,109
16,218
3772,143
150,160
2310,177
4475,127
4280,186
1290,186
3890,26
5072,186
1433,143
674,160
4492,143
4792,109
2915,89
3388,26
3931,109
2177,143
242,119
2670,186
1474,160
1594,26
1146,89
471,109
3637,109
769,218
4376,143
1286,89
727,26
3391,143
3166,143
2832,143
3882,26
143,119
3898,186
4267,177
5348,186
4395,119
1253,89
3734,186
268,177
640,26
2867,186
4419,127
3483,127
4337,109
1330,109
4101,186
2383,89
3963,127
3264,160
3350,186
3830,218
2470,109
2411,218
3870,89
3937,143
4284,26
1235,186
1961,186
816,89
514,127
5378,89
1622,119
1964,186
1980,89
4381,119
2413,160
1561,143
2420,127
743,143
1712,186
813,89
1078,119
3190,186
3042,89
1038,186
165,160
2482,127
2311,127
3731,89
4839,127
2946,143
49,109
507,143
1405,89
2431,160
1605,186
1149,218
4409,186
2088,218
2689,127
1244,127
5055,186
2415,127
4580,143
1491,186
185,89
843,127
389,109
1650,109
4143,143
1676,127
5110,143
2484,127
2454,109
4592,160
218,26
3730,26
886,109
3234,160
1922,143
561,127
3243,119
3957,160
4979,186
1879,186
4857,177
1667,186
58,186
1412,160
4829,127
2063,143
1753,160
4898,186
3119,143
4562,89
822,26
141,160
917,26
823,186
4848,160
3447,26
2658,127
4914,109
5455,89
347,109
5456,89
4421,26
2935,218
492,119
5436,143
840,127
4148,186
4391,186
2302,143
780,160
4927,160
571,160
5444,143
4660,119
1884,160
4319,26
1067,218
4278,127
3080,26
1312,26
3472,160
975,186
237,218
722,109
815,26
5006,143
5366,186
3902,186
2338,186
2225,89
3301,143
4716,143
4613,186
2562,143
1083,186
4974,143
262,119
2395,89
401,119
807,127
135,160
3187,218
2474,160
4620,26
4697,89
1850,26
1703,89
5396,143
695,119
4025,89
5114,177
2093,127
77,143
1061,143
4075,186
5125,218
5183,89
3066,143
638,186
5303,160
3573,26
3096,143
2127,127
1623,26
54,109
2303,119
2751,109
1310,186
5295,26
2530,89
3692,186
1674,127
1637,109
696,127
3439,89
5391,143
1841,119
5332,177
1548,186
5241,26
3979,26
3436,177
680,89
2179,186
1481,177
1157,160
4998,119
2023,218
891,89
1391,160
3519,26
2055,160
3584,143
2287,160
3568,186
4196,186
2282,127
1872,89
2977,109
463,89
4362,26
5386,89
692,186
5446,109
1692,109
4588,26
3546,26
2683,109
4444,26
4295,218
2448,186
42,177
3343,186
7,143
3469,218
1652,143
5021,119
1829,143
2851,109
1608,119
2924,26
2131,26
3169,186
2605,160
2560,127
3073,127
1380,109
2137,186
5405,186
172,177
736,127
2330,160
3247,119
3567,160
3989,143
4459,119
1854,186
649,89
1538,186
451,177
5187,109
3499,89
2207,218
3866,89
1600,186
608,127
3000,186
1638,160
535,186
96,127
2372,177
375,177
3554,160
616,119
2026,89
4019,143
611,186
1999,26
635,186
2185,89
2685,127
3927,26
1706,26
1401,143
495,160
4739,160
805,89
3341,218
4594,109
3061,143
4051,127
572,177
4478,143
4445,160
3944,186
5448,218
1296,109
3398,109
260,186
201,119
4540,119
1886,89
2143,186
3432,186
1351,109
709,218
1670,177
2187,218
1610,109
3405,186
164,119
2152,218
2642,127
1940,127
5249,186
947,186
3775,109
4361,143
3149,186
1792,26
2074,186
1694,89
2212,89
144,127
4249,186
2776,143
2754,186
4659,143
1665,186
2398,119
1463,109
1104,109
4841,186
2765,186
4489,89
2847,109
753,89
1787,109
3325,127
4813,127
1898,89
3705,109
2694,119
786,109
2621,186
1217,143
307,109
92,119
4135,119
5126,127
5070,127
684,119
759,109
5155,89
3279,186
2963,177
3370,127
852,89
3556,109
2849,160
256,160
856,109
485,89
4225,127
1393,177
4774,186
118,218
2564,109
3630,119
1730,186
5213,109
4081,186
615,160
844,119
4336,218
1260,143
2009,26
4260,186
4350,26
4292,186
3019,109
1148,218
2997,186
2945,186
1728,160
603,160
4883,160
3214,26
2427,89
4115,186
643,218
4828,143
5365,143
5062,186
464,109
4517,186
4541,89
3737,186
5416,186
688,186
778,26
4568,26
1529,127
3307,127
322,186
4551,218
4937,186
4450,109
5404,26
1457,26
1932,89
2852,26
3769,127
2854,218
2933,177
4121,186
4097,186
964,177
3281,160
115,119
5284,143
4513,143
2862,89
1864,186
2371,186
4747,186
930,127
2909,127
3813,127
2191,186
3796,218
2640,143
5419,186
4366,177
3309,177
3241,218
3111,186
5060,143
3160,109
2740,186
5321,119
1280,177
1324,119
1544,186
223,186
3332,89
179,177
4959,109
1095,143
1320,177
102,119
2099,186
64,177
1536,89
2010,26
1045,26
3723,160
3162,119
3514,160
1780,143
2100,119
4790,186
5179,186
1279,127
521,143
4881,89
4093,109
2397,143
1845,127
175,109
1801,89
3010,119
2593,127
842,218
1867,177
5273,186
424,89
4852,119
5047,186
4752,143
1614,119
1578,26
2838,119
868,186
2732,143
2404,26
3411,143
3947,127
2859,143
1882,109
1185,186
1900,160
1635,89
2773,186
351,26
1394,177
5086,119
2785,143
3413,109
2486,127
1125,218
817,143
5438,177
4030,186
5359,119
1039,127
1033,109
922,186
938,127
2006,109
874,119
1560,177
3598,143
361,127
5154,26
4054,89
1875,186
4477,127
1100,186
4105,177
1011,218
3943,119
3603,186
5313,160
3371,186
3720,160
4082,186
410,89
4717,186
2756,186
4132,143
4375,26
1079,89
4547,218
4046,89
4064,186
734,109
2316,160
1367,89
3250,186
2190,127
3351,186
3364,186
1658,160
1299,177
3152,186
3829,89
52,127
4289,127
1186,26
2555,186
3338,186
447,119
29,89
5144,186
110,218
5152,186
2752,109
5206,186
714,143
3323,119
78,186
1287,143
3688,186
1633,109
2085,218
1218,143
3504,218
650,119
5,186
2,143
3276,119
4593,143
4508,177
65,143
374,119
3765,177
1768,109
2956,186
4563,186
4070,109
2930,109
331,186
2281,127
4769,186
1275,127
5049,109
2888,89
499,119
4293,177
3425,127
1530,177
677,160
1288,26
355,127
4609,186
1023,119
1593,127
484,89
469,218
1503,177
3297,109
2546,119
2335,186
1214,26
5293,109
2795,127
4272,186
1325,143
1972,186
1755,109
2687,26
3530,109
1587,177
718,26
2239,143
1119,89
746,89
5108,119
2058,218
344,160
2188,218
1373,127
4658,143
332,186
1208,119
4600,186
2887,127
4434,26
4347,109
1081,218
3656,186
2481,177
311,127
1064,109
3718,127
1247,218
3802,109
301,143
5465,177
941,119
314,186
39,127
3965,109
4991,143
1392,160
4933,119
4124,119
1231,186
675,127
612,177
1890,127
3221,186
3703,177
3078,119
379,143
3610,127
4311,127
1933,127
1819,127
5105,186
5052,119
30,143
1229,127
5314,89
754,177
3148,160
1416,89
452,160
4748,186
3353,186
261,119
1451,127
3137,26
1221,160
5067,218
3108,186
569,143
2172,89
1800,127
3680,143
4808,109
1935,177
3176,26
1855,119
5364,186
2982,143
2075,186
1912,160
4417,186
678,218
3254,127
4908,186
1257,186
849,26
1192,160
5355,109
1120,119
3735,109
