,references,classes,attributes,packages,enum,datatypes,behaviour,expressions,imperative,uml,statemachine,class,workflow,component,interaction,Classes
11,146,96,39,1,0,0,0,1,0,0,1,0,0,0,0,0
13,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
19,94,77,16,1,1,0,0,1,1,0,0,0,0,0,0,0
22,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
33,168,120,61,23,5,0,0,0,0,1,0,1,1,0,0,0
40,0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0
55,99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0
62,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
69,46,17,18,1,0,2,1,0,0,0,1,0,0,0,0,0
74,172,122,61,25,5,0,0,0,0,1,0,1,1,0,0,0
77,158,104,56,18,5,0,0,0,0,1,0,1,1,0,0,0
89,157,116,97,11,0,1,1,0,0,0,1,0,0,0,0,0
97,38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0
101,87,38,74,1,0,0,0,0,1,0,0,0,0,0,0,1
120,62,77,33,1,12,0,0,1,1,0,0,0,0,0,0,0
124,3,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0
154,44,46,11,8,3,4,0,1,1,0,0,0,0,0,0,0
156,22,22,6,1,0,0,1,1,0,0,0,0,0,0,0,0
160,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
166,204,149,42,8,5,5,0,0,1,0,0,1,0,0,0,0
186,74,63,33,1,0,0,0,0,1,0,0,0,0,0,0,1
201,90,78,14,1,0,0,0,1,0,0,1,0,0,0,0,0
202,75,59,15,1,0,0,0,1,1,0,0,0,0,0,0,0
215,4,198,0,1,0,0,0,0,0,1,1,1,1,1,1,0
225,123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0
246,480,247,106,1,13,4,0,0,0,1,1,1,1,1,1,0
248,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
254,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
259,37,36,13,1,4,0,1,1,0,0,0,0,0,0,0,0
263,20,33,3,2,0,3,0,1,1,0,0,0,0,0,0,0
269,14,15,1,1,0,0,0,0,0,0,0,1,0,0,0,1
280,58,23,36,1,0,33,1,0,0,0,1,0,0,0,0,1
294,27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0
331,13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
334,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
339,41,227,16,1,3,0,0,0,0,1,1,1,1,1,1,0
343,23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0
350,106,84,26,18,3,0,0,0,0,0,0,1,1,0,0,0
357,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
361,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
363,98,144,24,1,0,0,0,1,1,0,0,0,0,0,0,0
368,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
373,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
378,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
386,46,40,12,1,3,0,0,1,1,0,0,0,0,0,0,0
393,116,110,44,1,2,5,0,0,0,1,0,1,0,0,0,1
396,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
413,34,40,12,1,4,1,1,1,0,0,0,0,0,0,0,0
432,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
452,7,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0
466,437,227,91,1,13,0,0,0,0,1,1,1,1,1,1,0
483,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
487,27,21,18,1,1,0,1,0,0,0,0,0,1,0,0,0
498,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
501,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
503,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
505,28,22,11,1,6,0,0,1,1,0,0,0,0,0,0,0
509,85,64,37,4,2,4,1,0,1,0,0,1,0,0,0,0
518,23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0
521,43,30,44,1,1,8,1,0,0,0,1,0,0,0,0,0
535,96,148,23,1,0,0,0,1,1,0,0,0,0,0,0,0
539,31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
