"","references","classes","attributes","packages","enum","datatypes","behaviour","expressions","imperative","uml","statemachine","class","workflow","component","interaction","Classes",".labelcount",".SCUMBLE"
"2650",17,15,11,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"897",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1208",2,34,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1103",33,36,16,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0.305761702245161
"1894",172,122,61,25,5,0,0,0,0,1,0,1,1,0,0,0,3,0.00104274925626879
"2358",31,13,22,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"378",1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"74",172,122,61,25,5,0,0,0,0,1,0,1,1,0,0,0,3,0.00104274925626879
"1963",96,43,25,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0.194497660335869
"2389",3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2852",3,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3224",31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"3618",21,11,32,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"2504",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3815",31,13,22,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"498",1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"331",13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"933",80,43,36,1,2,4,0,0,0,1,0,1,0,0,0,0,2,0.00108225139932416
"2062",88,142,28,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2491",7,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"619",3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2655",3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1497",30,31,11,1,2,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"393",116,110,44,1,2,5,0,0,0,1,0,1,0,0,0,1,3,0.311937931693722
"156",22,22,6,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0276511075360747
"930",20,15,6,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"694",204,149,42,9,5,5,0,0,1,0,0,1,0,0,0,0,2,0.0248895024759473
"1028",64,66,35,6,4,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3511",96,82,27,10,16,0,1,1,1,0,0,0,0,0,0,0,3,0.0193107491640397
"1328",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"3135",106,84,26,18,3,0,0,0,0,0,0,1,1,0,0,0,2,0.0012801726284466
"2423",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1385",1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1838",74,63,31,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0.194497660335869
"2115",192,142,30,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"3330",4,198,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1634",12,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0.062112220973383
"3572",0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"2187",3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1292",4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1459",25,37,15,1,0,2,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"363",98,144,24,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2329",63,92,23,11,8,4,0,1,1,0,0,0,0,0,0,0,2,0.00405345474265029
"2422",0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
"1125",1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0,6,0.00316076338988014
