,type_Class,type_Relationship,type_Package,type_Actor,type_DataType,type_Operation,type_Transition,type_State,type_Property,type_UseCase,type_Component,type_Enumeration,type_Activity,teaching,health,api,student-management,login,internet,simulation,registration,appointment,events,checkouts,course-management,donation,services,online-teaching,students,admission
1593,10,10,1,1,2,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
458,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1116,7,13,1,0,0,13,0,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,0,24,1,3,0,0,0,0,34,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1168,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1886,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1492,0,17,1,2,0,0,0,0,32,10,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,7,13,1,0,0,13,0,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
573,7,13,1,0,0,13,0,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,5,19,1,3,0,0,0,0,36,18,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1445,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1298,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
155,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1587,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1121,10,10,1,1,2,13,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1691,0,50,1,6,0,0,0,0,98,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1617,0,24,1,3,0,0,0,0,34,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
526,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1449,5,19,1,3,0,15,0,0,43,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1460,0,15,1,6,0,0,0,0,24,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,0,28,1,4,0,0,0,0,46,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
823,7,13,1,0,0,13,0,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
278,7,13,1,0,0,13,0,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,24,1,3,0,0,0,0,34,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
